n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
6202,0,0.012903225806451613,0.0064516129032258064,0.9806451612903225,0.012903225806451613,0.7677419354838709,0.21935483870967742,0.04516129032258064,0.3935483870967742,0.5612903225806452,0.7741935483870968,0.0,0.22580645161290322,155,9304,1.5001612383102225,0.012903225806451613,8.732627099660395,1,2,4,10,22,0.5923726082221428,0.6953539887100557,0.32582242056042476,0.583130880085297,5001-10000,0
6204,0,0.05806451612903226,0.012903225806451613,0.9290322580645162,0.05806451612903226,0.7225806451612903,0.21935483870967742,0.012903225806451613,0.2967741935483871,0.6903225806451613,0.05161290322580645,0.0,0.9483870967741935,155,15712,2.5325596389426175,0.05806451612903226,8.73294952429643,0,0,0,0,24,0.5268839148516953,0.6406129998749173,0.35778832707722025,0.5502246254008472,5001-10000,0
6206,0,0.21505376344086022,0.06451612903225806,0.7204301075268817,0.21505376344086022,0.08602150537634409,0.6989247311827957,0.043010752688172046,0.22580645161290322,0.7311827956989247,0.22580645161290322,0.053763440860215055,0.7204301075268817,93,59668,9.61456654850145,0.21505376344086022,8.733271845008325,2,2,2,2,26,0.272325494036599,0.244495417172559,0.34663371331409726,0.2747348651984763,5001-10000,1
6208,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.22580645161290322,0.7419354838709677,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4871134020618557,0.7258064516129032,8.733594061863055,1,0,4,4,28,0.5223466222313529,0.5218234259068696,0.36177962258449237,0.5117810812545467,5001-10000,0
6210,0,0.012903225806451613,0.0064516129032258064,0.9806451612903225,0.012903225806451613,0.7677419354838709,0.21935483870967742,0.06451612903225806,0.3935483870967742,0.5419354838709678,0.01935483870967742,0.0,0.9806451612903225,155,9316,1.5001610305958133,0.012903225806451613,8.733916174927524,0,2,0,6,0,0.5923726082221428,0.6953539887100557,0.3076885055396238,0.5914232643610423,5001-10000,0
6212,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.27419354838709675,0.6935483870967742,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4861558274307791,0.7258064516129032,8.734238184268579,2,0,2,8,2,0.5223466222313529,0.5218234259068696,0.3386021334644549,0.5117810812545467,5001-10000,0
6214,0,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.03225806451612903,0.6935483870967742,0.27419354838709675,0.024193548387096774,0.1935483870967742,0.782258064516129,0.024193548387096774,0.0,0.9758064516129032,124,13984,2.250402317347924,0.03225806451612903,8.734560089952993,1,2,4,10,4,0.556280946244833,0.6051977429010184,0.39469030523278,0.5852016559680626,5001-10000,0
6216,0,0.0,0.0,1.0,0.0,0.0,1.0,0.05555555555555555,0.5277777777777778,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,36,6216,1.0,0.0,8.734881892047483,0,0,0,0,6,0.6164414002968976,0.6164414002968976,0.41729582129364273,0.26246692913372704,5001-10000,0
6218,1,0.05555555555555555,0.027777777777777776,0.9166666666666666,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.4444444444444444,0.5,0.08333333333333333,0.0,0.9166666666666666,36,9328,1.5001608234158894,0.05555555555555555,8.735203590618699,2,2,2,2,8,0.5128593290153008,0.5452375176171244,0.34569664858008986,0.5104464277037851,5001-10000,0
6220,0,0.1388888888888889,0.027777777777777776,0.8333333333333334,0.1388888888888889,0.0,0.8611111111111112,0.08333333333333333,0.5277777777777778,0.3888888888888889,0.08333333333333333,0.0,0.9166666666666666,36,7000,1.1254019292604502,0.1388888888888889,8.735525185733225,1,0,4,4,10,0.408323885000288,0.44312303561353933,0.408323885000288,0.5104464277037851,5001-10000,0
